Updated_Date,Valve_Type,Valve_Size,Valve_Useage,Cover,Lid_Type,Valve_Cond,Valve_Stat,Valve_Position,Turns,Depth_Nut,Location,Comment,Rotation,POINT_X,POINT_Y
8/12/2014,GV,2.00000000000,Blow Off,Asphalt,910,Good,Working,Closed,8.00000000000,50.00000000000,se sweetbriar ln,,90,7719946.85313000000,677069.41632500000
11/22/2011,GV,6.00000000000,Hydrant,Asphalt,910,Good,Working,Open,20.00000000000,26.00000000000,se sweetbrier ln,,0,7719960.19825000000,677313.33578500000
3/28/2012,GV,8.00000000000,Inline,Asphalt,910,Good,Working,Open,25.00000000000,30.00000000000,se sweetbrier ln/se berryland circle intersection,,85,7719974.13523000000,677571.09937700000
8/12/2014,GV,4.00000000000,Inline,Asphalt,910,Good,Working,Open,13.00000000000,36.00000000000,se sweetbrier ln/se berryland  circle intersection,,0,7719975.10308000000,677572.20075300000
3/28/2012,GV,2.00000000000,Blow Off,Asphalt,910,Good,Working,Closed,8.00000000000,24.00000000000,se berryland cir,,0,7720096.87809000000,677561.11186400000
8/12/2014,GV,2.00000000000,Blow Off,Asphalt,910,Good,Working,Closed,8.00000000000,24.00000000000,se jones end of main,,-45,7719591.21310000000,677435.50351900000
11/22/2011,GV,6.00000000000,Hydrant,Asphalt,910,Good,Working,Open,20.00000000000,34.00000000000,se jones ln hydrant valve,,0,7719652.52596000000,677724.22932000000
8/12/2014,GV,2.00000000000,Blow Off,Asphalt,926,Good,Working,Closed,8.00000000000,30.00000000000,se althaus circle end of main,,45,7721090.69730000000,678336.34948700000
11/22/2011,GV,8.00000000000,Inline,Asphalt,926,Good,Working,Open,27.00000000000,25.00000000000,se althaus dr/se althaus circle,,210,7720989.30544000000,678412.52781200000
8/12/2014,GV,8.00000000000,Inline,Asphalt,926,Good,Working,Open,28.00000000000,22.00000000000,se althaus dr/se althaus circle,,130,7720987.89370000000,678414.07472500000
11/23/2011,GV,2.00000000000,Blow Off,Asphalt,910,Good,Working,Closed,8.00000000000,25.00000000000,se 48th street,,0,7719552.20431000000,676571.47047100000
11/23/2011,GV,2.00000000000,Blow Off,Asphalt,910,Good,Working,Closed,8.00000000000,12.00000000000,se sweetbriar ln,north of intersection,0,7719926.82627000000,676810.42799800000
8/12/2014,GV,8.00000000000,Inline,Asphalt,910,Good,Working,Open,27.00000000000,24.00000000000,se 48th st,imported from gps,90,7719923.00935000000,676687.28224700000
11/23/2011,GV,8.00000000000,Inline,Asphalt,910,Good,Working,Open,27.00000000000,22.00000000000,se 48th st,imported from gps,0,7719925.64025000000,676684.20285700000
11/23/2011,GV,8.00000000000,Inline,Asphalt,910,Good,Working,Open,27.00000000000,23.00000000000,se 48th st,imported from gps,0,7719919.95522000000,676684.35574400000
11/22/2011,BTRFLY,12.00000000000,Inline,Asphalt,926,Good,Working,Open,34.00000000000,35.00000000000,se viewpoint /se sweetbrier rd,imported gps data from 11/7/2011,180,7720682.98519000000,677383.66602500000
11/22/2011,GV,8.00000000000,Inline,Asphalt,910,Good,Working,Open,26.00000000000,15.00000000000,se viewpoint /se sweetbrier  rd,imported gps data from 11/7/2011,90,7720665.34415000000,677383.77265200000
11/22/2011,BTRFLY,12.00000000000,Inline,Grass,926,Good,Working,Open,34.00000000000,36.00000000000,strebin / se viewpoint,imiported from gps,180,7720678.33034000000,676362.26157100000
