OBJECTID,NAME,DESCRIPTION,CAT1,CAT2,ADDRESS,CITY,STATE,ZIP,UNITS,URL,ORGANIZATION,WALKSCORE,TRANSITSCORE,LATITUDE,LONGITUDE
1,Abbey,"The Agency Provides Housing Services. Services Include Long Term, Sro Housing, At Low Cost For Low-Income People In The Skid Row Area Of Los Angeles.",Social Services,Public Housing,625 San Pedro St.,Los Angeles,CA,90014,115,www.skidrow.org,Skid Row Housing Trust,94,100,34.04729781,-118.2447156
2, Boyd,"The Agency Provides Housing Services. Services Include Long Term, Sro Housing, At Low Cost For Low-Income People In The Skid Row Area Of Los Angeles.",Social Services,Public Housing,225 E. Boyd St.,Los Angeles,CA,90013,61,www.skidrow.org,Skid Row Housing Trust,97,100,34.04729781,-118.2447156
3,Charles Cobb,"The Agency Provides Housing Services. Services Include Long Term, Sro Housing, At Low Cost For Low-Income People In The Skid Row Area Of Los Angeles.",Social Services,Public Housing,521 San Pedro St.,Los Angeles,CA,90013,76,www.skidrow.org,Skid Row Housing Trust,94,100,34.04729781,-118.2447156
4,Crescent,"The agency provides permanent SRO housing services, at low cost for low-income people in the Skid Row area of Los Angeles.",Social Services,Public Housing,617 E. 5th St.,Los Angeles,CA,90013,55,www.skidrow.org,Skid Row Housing Trust,93,100,34.043392,-118.242234
5,Dewey Hotel,"The agency provides permanent SRO housing services, at low cost for low-income people in the Skid Row area of Los Angeles.",Social Services,Public Housing,721 S Main St,Los Angeles,CA,90014,43,www.skidrow.org,Skid Row Housing Trust,99,100,34.04357997,-118.252189
6,Edward,"The Agency Provides Housing Services. Services Include Long Term, Sro Housing, At Low Cost For Low-Income People In The Skid Row Area Of Los Angeles.",Social Services,Public Housing,713 E. 5Th St.,Los Angeles,CA,90013,47,www.skidrow.org,Skid Row Housing Trust,92,97,34.0428913,-118.2414546
7,Genesis,"The Agency Provides Housing Services. Services Include Long Term, Sro Housing, At Low Cost For Low-Income People In The Skid Row Area Of Los Angeles.",Social Services,Public Housing,457 S. Main St.,Los Angeles,CA,90013,106,www.skidrow.org,Skid Row Housing Trust,98,100,34.04694469,-118.2480916
8,Hart,"The agency provides permanent SRO housing services, at low cost for low-income people in the Skid Row area of Los Angeles.",Social Services,Public Housing,508 E. 4th St.,Los Angeles,CA,90013,39,www.skidrow.org,Skid Row Housing Trust,93,100,34.044585,-118.241252
9,Las Americas,"The Agency Provides Housing Services. Services Include Long Term, Sro Housing, At Low Cost For Low-Income People In The Skid Row Area Of Los Angeles.",Social Services,Public Housing,1205 E. 6Th St.,Los Angeles,CA,90021,60,www.skidrow.org,Skid Row Housing Trust,83,76,34.03841359,-118.2380254
10,Lincoln Hotel,"The Agency Provides Housing Services. Services Include Long Term, Sro Housing, At Low Cost For Low-Income People In The Skid Row Area Of Los Angeles.",Social Services,Public Housing,550 Ceres St.,Los Angeles,CA,90013,41,www.skidrow.org,Skid Row Housing Trust,87,86,34.04079346,-118.2406861
